Título da Revista;ISSN;Homepage;Aims and Scope: ;Aims and Scope (translate);Área;Subárea;Sub-subárea;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
Asian Cardiovascular and Thoracic Annals;0218-4923;http://aan.sagepub.com/;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Asian Cardiovascular and Thoracic Annals.;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Asian Cardiovascular and Thoracic Annals.;Ciências da Saúde;Medicina;Medicina;Scopus;0,6;Q4;0,247;Q3;33.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asian%20Cardiovascular%20and%20Thoracic%20Annals&btnG=
Asian Journal of Anesthesiology;2468-824X;https://www.sciencedirect.com/journal/asian-journal-of-anesthesiology;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Asian Journal of Anesthesiology.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Asian Journal of Anesthesiology.;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,181;Q3;35.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asian%20Journal%20of%20Anesthesiology&btnG=
Asian Journal of Endoscopic Surgery;1758-5902;https://onlinelibrary.wiley.com/journal/17585910;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Asian Journal of Endoscopic Surgery.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Asian Journal of Endoscopic Surgery.;Ciências da Saúde;Medicina;Medicina;Scopus;0,9;Q4;0,372;Q3;32.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asian%20Journal%20of%20Endoscopic%20Surgery&btnG=
Asian Journal of Periodontics and Orthodontics;3062-3499;;Aims and Scope: Published by Polaris. Focuses on scholarly research in the field of Asian Journal of Periodontics and Orthodontics.;Aims and Scope: Published by Polaris. Focuses on scholarly research in the field of Asian Journal of Periodontics and Orthodontics.;Ciências da Saúde;Odontologia;Odontologia;Scopus;-;-;0,384;Q2;10.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asian%20Journal%20of%20Periodontics%20and%20Orthodontics&btnG=
Asian Journal of Psychiatry;1876-2018;https://www.journals.elsevier.com/asian-journal-of-psychiatry;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Asian Journal of Psychiatry.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Asian Journal of Psychiatry.;Ciências da Saúde;Medicina;Medicina, Psicologia;Scopus;4,5;Q1;1,265;Q1;78.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asian%20Journal%20of%20Psychiatry&btnG=
Asian Journal of Sports Medicine;2008-7209;http://asjsm.tums.ac.ir;Aims and Scope: Published by Brieflands. Focuses on scholarly research in the field of Asian Journal of Sports Medicine.;Aims and Scope: Published by Brieflands. Focuses on scholarly research in the field of Asian Journal of Sports Medicine.;Ciências da Saúde;Medicina;Medicina, Profissões da Saúde;Scopus;-;-;0,241;Q3;41.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asian%20Journal%20of%20Sports%20Medicine&btnG=
Asian Journal of WTO and International Health Law and Policy;1819-5164;;;;Ciências da Saúde;Medicina;Ciências Sociais, Econometria e Finanças, Economia, Medicina;Scopus;-;-;0,169;Q3;11.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asian%20Journal%20of%20WTO%20and%20International%20Health%20Law%20and%20Policy&btnG=
Asian Medicine;1573-4218;http://brill.publisher.ingentaconnect.com/content/brill/asme;Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on academic publications in Asian Medicine.;Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on academic publications in Asian Medicine.;Ciências da Saúde;Medicina;Artes e Humanidades, Medicina;Scopus;-;-;0,104;Q4;20.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Asian%20Medicine&btnG=
Assistenza Infermieristica e Ricerca;1592-5986;;;;Ciências da Saúde;Enfermagem;Enfermagem;Scopus;0,9;Q4;0,209;Q4;16.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Assistenza%20Infermieristica%20e%20Ricerca&btnG=
Assistive Technology;1949-3614;https://www.tandfonline.com/toc/uaty20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Assistive Technology.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Assistive Technology.;Ciências da Saúde;Medicina;Medicina, Profissões da Saúde;Scopus;2,5;Q1;0,53;Q2;55.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Assistive%20Technology&btnG=
Assistive Technology Outcomes and Benefits;1938-7261;http://www.atia.org/i4a/pages/index.cfm?pageid=3305;;;Ciências da Saúde;Medicina;Engenharia, Medicina, Profissões da Saúde;Scopus;-;-;0,152;Q4;6.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Assistive%20Technology%20Outcomes%20and%20Benefits&btnG=
Atemwegs- und Lungenkrankheiten;0341-3055;;Aims and Scope: Published by Dustri-Verlag Dr. Karl Feistle. Focuses on scholarly research in the field of Atemwegs- und Lungenkrankheiten.;Aims and Scope: Published by Dustri-Verlag Dr. Karl Feistle. Focuses on scholarly research in the field of Atemwegs- und Lungenkrankheiten.;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,107;Q4;9.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Atemwegs-%20und%20Lungenkrankheiten&btnG=
Atencion Primaria Practica;2605-0730;https://www.journals.elsevier.com/atencion-primaria-practica;;;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,165;Q3;6.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Atencion%20Primaria%20Practica&btnG=
Atlas of the Oral and Maxillofacial Surgery Clinics of North America;1558-4275;https://www.sciencedirect.com/journal/atlas-of-the-oral-and-maxillofacial-surgery-clinics;;;Ciências da Saúde;Medicina;Medicina, Odontologia;Scopus;-;-;0,618;Q1;30.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Atlas%20of%20the%20Oral%20and%20Maxillofacial%20Surgery%20Clinics%20of%20North%20America&btnG=
Attachment and Human Development;1461-6734;https://www.tandfonline.com/toc/rahd20/current;;;Ciências da Saúde;Medicina;Medicina, Psicologia;Scopus;2,4;Q2;1,132;Q1;92.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Attachment%20and%20Human%20Development&btnG=
Audiology and Speech Research;2635-5019;https://www.e-asr.org;Aims and Scope: Published by Korean Academy of Audiology. Focuses on scholarly research in the field of Audiology and Speech Research.;Aims and Scope: Published by Korean Academy of Audiology. Focuses on scholarly research in the field of Audiology and Speech Research.;Ciências da Saúde;Medicina;Ciências Sociais, Medicina, Profissões da Saúde;Scopus;-;-;0,158;Q4;6.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Audiology%20and%20Speech%20Research&btnG=
Auris Nasus Larynx;1879-1476;https://www.journals.elsevier.com/auris-nasus-larynx;;;Ciências da Saúde;Medicina;Medicina;Scopus;1,5;Q2;0,594;Q2;66.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Auris%20Nasus%20Larynx&btnG=
Austral Journal of Imaging;2810-708X;mailto:sochradi@ctcreuna.cl;;;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,107;Q4;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Austral%20Journal%20of%20Imaging&btnG=
Australasian Emergency Care;2589-1375;https://www.journals.elsevier.com/australasian-emergency-care;;;Ciências da Saúde;Enfermagem;Enfermagem;Scopus;-;-;0,812;Q1;40.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australasian%20Emergency%20Care&btnG=
Australasian Journal of Dermatology;1440-0960;https://onlinelibrary.wiley.com/journal/14400960;;;Ciências da Saúde;Medicina;Medicina;Scopus;1,8;Q3;0,649;Q2;68.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australasian%20Journal%20of%20Dermatology&btnG=
Australasian Journal of Ultrasound in Medicine;2205-0140;https://onlinelibrary.wiley.com/journal/22050140;;;Ciências da Saúde;Medicina;Medicina, Profissões da Saúde;Scopus;-;-;0,297;Q3;19.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australasian%20Journal%20of%20Ultrasound%20in%20Medicine&btnG=
Australasian Journal on Ageing;1440-6381;https://onlinelibrary.wiley.com/journal/17416612;;;Ciências da Saúde;Medicina;Enfermagem, Medicina;Scopus;1,8;Q3;0,641;Q1;53.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australasian%20Journal%20on%20Ageing&btnG=
Australasian Psychiatry;1039-8562;http://apy.sagepub.com/;;;Ciências da Saúde;Medicina;Medicina;Scopus;1,2;Q4;0,53;Q3;52.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australasian%20Psychiatry&btnG=
Australian Critical Care;1036-7314;https://www.journals.elsevier.com/australian-critical-care;Aims and Scope: Australian Critical Care is a bimonthly peer-reviewed nursing journal covering clinically relevant research, reviews, and articles of interest to the critical;Aims and Scope: Australian Critical Care is a bimonthly peer-reviewed nursing journal covering clinically relevant research, reviews, and articles of interest to the critical;Ciências da Saúde;Enfermagem;Enfermagem;Scopus;2,7;Q1;0,842;Q1;54.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20Critical%20Care&btnG=
Australian Dental Journal;1834-7819;https://onlinelibrary.wiley.com/journal/18347819;;;Ciências da Saúde;Odontologia;Odontologia;Scopus;2,4;Q2;0,809;Q1;95.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20Dental%20Journal&btnG=
Australian Endodontic Journal;1329-1947;https://onlinelibrary.wiley.com/journal/17474477;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Australian Endodontic Journal.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Australian Endodontic Journal.;Ciências da Saúde;Odontologia;Odontologia;Scopus;1,5;Q3;0,529;Q2;47.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20Endodontic%20Journal&btnG=
Australian Health Review;1449-8944;https://www.publish.csiro.au/ah;Aims and Scope: Published by CSIRO Publishing. Focuses on scholarly research in the field of Australian Health Review.;Aims and Scope: Published by CSIRO Publishing. Focuses on scholarly research in the field of Australian Health Review.;Ciências da Saúde;Medicina;Medicina;Scopus;1,4;Q4;0,428;Q3;63.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20Health%20Review&btnG=
Australian Journal of Forensic Sciences;1834-562X;https://www.tandfonline.com/toc/tajf20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Australian Journal of Forensic Sciences.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Australian Journal of Forensic Sciences.;Ciências da Saúde;Medicina;Medicina;Scopus;1,1;Q4;0,348;Q3;36.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20Journal%20of%20Forensic%20Sciences&btnG=
Australian Journal of Herbal and Naturopathic Medicine;2209-1203;http://www.cambridgepublishing.com.au/publications/australian-journal-of-herbal-medicine/about-the-journal.aspx;Aims and Scope: Published by Cambridge Media. Focuses on scholarly research in the field of Australian Journal of Herbal and Naturopathic Medicine.;Aims and Scope: Published by Cambridge Media. Focuses on scholarly research in the field of Australian Journal of Herbal and Naturopathic Medicine.;Ciências da Saúde;Medicina;Enfermagem, Medicina;Scopus;-;-;0,144;Q4;14.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20Journal%20of%20Herbal%20and%20Naturopathic%20Medicine&btnG=
Australian Journal of Primary Health;1836-7399;http://www.publish.csiro.au/py;Aims and Scope: Published by CSIRO Publishing. Focuses on scholarly research in the field of Australian Journal of Primary Health.;Aims and Scope: Published by CSIRO Publishing. Focuses on scholarly research in the field of Australian Journal of Primary Health.;Ciências da Saúde;Medicina;Medicina;Scopus;1,3;Q4;0,497;Q3;42.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20Journal%20of%20Primary%20Health&btnG=
Australian Journal of Rural Health;1440-1584;https://onlinelibrary.wiley.com/journal/14401584;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Australian Journal of Rural Health.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Australian Journal of Rural Health.;Ciências da Saúde;Medicina;Medicina;Scopus;2,1;Q2;0,713;Q2;63.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20Journal%20of%20Rural%20Health&btnG=
Australian Veterinary Journal;1751-0813;https://onlinelibrary.wiley.com/journal/17510813;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Australian Veterinary Journal.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Australian Veterinary Journal.;Ciências da Saúde;Medicina;Medicina, Veterinária;Scopus;1,7;Q2;0,456;Q2;74.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20Veterinary%20Journal&btnG=
Australian and New Zealand Journal of Obstetrics and Gynaecology;1479-828X;https://obgyn.onlinelibrary.wiley.com/journal/1479828X;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Australian and New Zealand Journal of Obstetrics and Gynaecology.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Australian and New Zealand Journal of Obstetrics and Gynaecology.;Ciências da Saúde;Medicina;Medicina;Scopus;1,7;Q3;0,737;Q2;81.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20and%20New%20Zealand%20Journal%20of%20Obstetrics%20and%20Gynaecology&btnG=
Australian and New Zealand Journal of Psychiatry;0004-8674;http://anp.sagepub.com/;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Australian & New Zealand Journal of Psychiatry.;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Australian & New Zealand Journal of Psychiatry.;Ciências da Saúde;Medicina;Medicina;Scopus;3,7;Q1;1,522;Q1;146.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Australian%20and%20New%20Zealand%20Journal%20of%20Psychiatry&btnG=
Autism Research;1939-3792;https://onlinelibrary.wiley.com/journal/19393806;Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Autism Research.;Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Autism Research.;Ciências da Saúde;Medicina;Medicina, Neurociência;Scopus;5,6;Q1;1,643;Q1;111.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Autism%20Research&btnG=
Autism in Adulthood;2573-9581;https://home.liebertpub.com/publications/autism-in-adulthood/646;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Autism in Adulthood.;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Autism in Adulthood.;Ciências da Saúde;Medicina;Medicina, Neurociência, Psicologia;Scopus;6,8;Q1;1,837;Q1;32.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Autism%20in%20Adulthood&btnG=
Autonomic Neuroscience: Basic and Clinical;1566-0702;http://www.journals.elsevier.com/autonomic-neuroscience-basic-and-clinical/;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Autonomic Neuroscience.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Autonomic Neuroscience.;Ciências da Saúde;Medicina;Medicina, Neurociência;Scopus;3,3;Q2;1,077;Q1;100.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Autonomic%20Neuroscience%3A%20Basic%20and%20Clinical&btnG=
Azerbaijan Medical Journal;0005-2523;;Aims and Scope: Published by Azerbaijan Medical Journal. Focuses on scholarly research in the field of Azerbaijan Medical Journal.;Aims and Scope: Published by Azerbaijan Medical Journal. Focuses on scholarly research in the field of Azerbaijan Medical Journal.;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,192;Q4;9.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Azerbaijan%20Medical%20Journal&btnG=
B E JOURNAL OF THEORETICAL ECONOMICS;2194-6124;;Aims and Scope: Published by Walter de Gruyter GmbH. Focuses on scholarly research in the field of The B E Journal of Theoretical Economics.;Aims and Scope: Published by Walter de Gruyter GmbH. Focuses on scholarly research in the field of The B E Journal of Theoretical Economics.;Ciências da Saúde;Medicina;Gastroenterologia e Hepatologia, Cirurgia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=B%20E%20JOURNAL%20OF%20THEORETICAL%20ECONOMICS&btnG=
