"Journal title","ISSN","Categorias","Indexador","Aims and Scope","Aims and Scope (translate)"
"Forensic Sciences","2673-6756","Medicine, Legal","Web of Science - ESCI","Subjects: Social pathology. Social and public welfare. Criminology, Analytical chemistry. Keywords: bloodstain pattern analysis, computer forensics, criminology, crime scene investigation, document examination, forensic accountin","Subjects: Social pathology. Social and public welfare. Criminology, Analytical chemistry. Keywords: bloodstain pattern analysis, computer forensics, criminology, crime scene investigation, document examination, forensic accountin"
"Forensic Sciences Research","2096-1790","Medicine, Legal","Web of Science - ESCI","Subjects: Criminal law and procedure, Public aspects of medicine. Keywords: forensic sciences, clinical forensic medicine, crime scene investigation","Subjects: Criminal law and procedure, Public aspects of medicine. Keywords: forensic sciences, clinical forensic medicine, crime scene investigation"
"Forensic Toxicology","1860-8965","Toxicology","Web of Science - SCIE","Forensic Toxicology is a hybrid journal providing an international forum for publication of studies on toxic substances, drugs of abuse, doping agents, ...","Forensic Toxicology is a hybrid journal providing an international forum for publication of studies on toxic substances, drugs of abuse, doping agents, ..."
"Forensische Psychiatrie Psychologie Kriminologie","1862-7072","Psychiatry","Web of Science - ESCI","Forensische Psychiatrie, Psychologie, Kriminologie is a forum for the scientific discussion of the causes and consequences of criminal behavior. Focuses on ...","Forensische Psychiatrie, Psychologie, Kriminologie is a forum for the scientific discussion of the causes and consequences of criminal behavior. Focuses on ..."
"Foresight","1463-6689","Regional & Urban Planning","Web of Science - ESCI","Foresight is an international bi-monthly journal concerned with the study of the future.","Foresight is an international bi-monthly journal concerned with the study of the future."
"Foresight And Sti Governance","1995-459X","Economics, Management","Web of Science - ESCI","Foresight and STI Governance is an interdisciplinary journal devoted to the analysis of and effective response to economic, political, operational and strategic challenges related to the Science, Technology, Innovation and EducationMAIN TOPICS- Methodologies and Practices of Technology Foresight and Futures Research- Innovation and Sustainable Development- Science Technology and Innovation Policy- Establishment of Intellectual, Ethical and Empirical Foundations for Future Research in Interdisciplinary Studies- Innovation Management and Entrepreneurship- Science, Technology and Innovation Indicators- Innovation Systems - National, Regional, Sectoral, Technological- Research and Development Management- Technological Trends and Breakthroughs More Less Full Issue PDF rus (Русский) PDF","Foresight and STI Governance is an interdisciplinary journal devoted to the analysis of and effective response to economic, political, operational and strategic challenges related to the Science, Technology, Innovation and EducationMAIN TOPICS- Methodologies and Practices of Technology Foresight and Futures Research- Innovation and Sustainable Development- Science Technology and Innovation Policy- Establishment of Intellectual, Ethical and Empirical Foundations for Future Research in Interdisciplinary Studies- Innovation Management and Entrepreneurship- Science, Technology and Innovation Indicators- Innovation Systems - National, Regional, Sectoral, Technological- Research and Development Management- Technological Trends and Breakthroughs More Less Full Issue PDF rus (Русский) PDF"
"Forest And Society","2549-4724","Forestry","Web of Science - ESCI","Subjects: Forestry, Environmental sciences, Ecology. Keywords: forests, community, forest policy, forest politics, forest economics","Subjects: Forestry, Environmental sciences, Ecology. Keywords: forests, community, forest policy, forest politics, forest economics"
"Forest Ecology And Management","0378-1127","Forestry","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forest Ecology and Management.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forest Ecology and Management."
"Forest Ecosystems","2095-6355","Forestry","Web of Science - SCIE","Forest Ecosystems will cease to be published by SpringerOpen as of 1 January 2022. Please visit https://www.keaipublishing.com/en/journals/forest-ecosystems/ ...","Forest Ecosystems will cease to be published by SpringerOpen as of 1 January 2022. Please visit https://www.keaipublishing.com/en/journals/forest-ecosystems/ ..."
"Forestist","2602-4039","Forestry","Web of Science - ESCI","Subjects: Forestry. Keywords: forestry, materials science, paper & wood, composites, manufacturing, environmental sciences","Subjects: Forestry. Keywords: forestry, materials science, paper & wood, composites, manufacturing, environmental sciences"
"Forest Pathology","1437-4781","Forestry","Web of Science - SCIE","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Forest Pathology.","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Forest Pathology."
"Forest Policy And Economics","1389-9341","Forestry, Economics, Environmental Studies","Web of Science - SCIE, Web of Science - SSCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forest Policy and Economics.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Forest Policy and Economics."
"Forest Products Journal","0015-7473","Forestry, Materials Science, Paper & Wood","Web of Science - SCIE","Aims and Scope: Published by Forest Products Society. Focuses on scholarly research in the field of Forest Products Journal.","Aims and Scope: Published by Forest Products Society. Focuses on scholarly research in the field of Forest Products Journal."
"Forestry","0015-752X","Forestry","Web of Science - SCIE","Aims and Scope: Published by Hindawi (International Scholarly Research Network). Focuses on academic publications in ISRN Forestry.","Aims and Scope: Published by Hindawi (International Scholarly Research Network). Focuses on academic publications in ISRN Forestry."
"Forestry Chronicle","0015-7546","Forestry","Web of Science - SCIE","Subjects: Science, Environmental sciences. Keywords: forestry, forest science, forest management, silviculture, forest ecology, forest products","Subjects: Science, Environmental sciences. Keywords: forestry, forest science, forest management, silviculture, forest ecology, forest products"
"Forestry Research","2767-3812","Forestry","Web of Science - ESCI","Subjects: Forestry. Keywords: forestry research","Subjects: Forestry. Keywords: forestry research"
"Forests","1999-4907","Forestry","Web of Science - SCIE","Aims and Scope: Published by MDPI AG. Focuses on scholarly research in the field of Forests.","Aims and Scope: Published by MDPI AG. Focuses on scholarly research in the field of Forests."
"Forest Science","0015-749X","Forestry","Web of Science - SCIE","Aims and Scope: Published by National Inquiry Services Center (NISC). Focuses on academic publications in Southern Forests a Journal of Forest Science.","Aims and Scope: Published by National Inquiry Services Center (NISC). Focuses on academic publications in Southern Forests a Journal of Forest Science."
"Forest Science And Technology","2158-0103","Forestry","Web of Science - ESCI","Subjects: Forestry. Keywords: forest biology, silviculture, forest health, forest environment, forest management, forest products","Subjects: Forestry. Keywords: forest biology, silviculture, forest health, forest environment, forest management, forest products"
"Forests Trees And Livelihoods","1472-8028","Environmental Studies, Forestry","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Forests Trees and Livelihoods.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Forests Trees and Livelihoods."
